Accuracy = 0.8649314538127166
          /#   /$  /''  /(  /)    /,    /.   /:   /CC   /CD   /DT  /EX  /FW   /IN   /JJ  /JJR  /JJR|RBR  /JJS  /JJ|IN  /LS  /MD   /NN  /NNP  /NNPS  /NNS  /PDT  /POS  /PRP  /PRP$   /RB  /RBR  /RBR|JJR  /RBS  /RB|JJ  /RP  /SYM   /TO  /UH   /VB  /VBD  /VBG  /VBG|NN  /VBN  /VBN|JJ  /VBP  /VBZ  /WDT  /WP  /WP$  /WRB  /``
/LS        0    0    0   0   0     0     0    0     0     4     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/MD        0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0  580     4     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/NN        0    0    0   0   0     0     0    0     1     7     1    0    0     1    96     0         0     0       0    0    3  7264    43      0     6     3     0     0      0     2     0         0     0       0    0     0     0    0    37    17    74        0     1        0    23     1     0    0     0     0    0
/NNP       0    0    0   0   0     0     0    0     0    28     4    0    0     1    81     1         0     0       0    0    0  2332  3476      0    13     0     0     0      0     1     0         0     0       0    0     0     0    0     1     0     0        0     0        0     0     1     0    0     0     0    0
/NNPS      0    0    0   0   0     0     0    0     0     1     0    0    0     0     5     0         0     0       0    0    0    18     9      0     9     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/NNS       0    0    0   0   0     0     0    0     0    19     0    0    0     0    15     0         0     0       0    0    0   718    17      0  2666     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0    78     0    0     0     0    0
/PDT       0    0    0   0   0     0     0    0     0     0    13    0    0     0     4     0         0     0       0    0    0     0     0      0     0     1     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/POS       0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0   542     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     9     0    0     0     0    0
/PRP       0    0    0   0   0     0     0    0     0     5     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0  1047      4     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/PRP$      0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     3     0      0     0     0     0     5    502     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/RB        0    0    0   0   0     0     0    0     6     0     9    6    0   198    48     0         0     2       0    0    0   169     3      0     0     0     0     0      0  1572     8         0     0       0   24     0     0    0     2     0     0        0     0        0     0     0     1    0     0     0    0
/RBR       0    0    0   0   0     0     0    0     0     0     0    0    0     0     1    59         0     0       0    0    0     2     0      0     0     0     0     0      0     2    46         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/RBR|JJR   0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     2         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/RBS       0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0    16       0    0    0     0     0      0     0     0     0     0      0     0     0         0    14       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/RB|JJ     0    0    0   0   0     0     0    0     0     0     0    0    0     0     1     0         0     0       0    0    0     1     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/RP        0    0    0   0   0     0     0    0     0     0     0    0    0    87     0     0         0     0       0    0    0     2     0      0     0     0     0     0      0    14     0         0     0       0   74     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/SYM       0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     1     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/TO        0    0    0   0   0     0     0    0     0     0     0    0    0     3     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0  1242    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/UH        0    0    0   0   0     0     0    0     0     0     1    0    0     0     0     0         0     0       0    0    0     4     0      0     0     0     0     0      0     3     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/VB        0    0    0   0   0     0     0    0     0     0     0    0    0     0    11     1         0     0       0    0    0   300     0      0     0     0     0     0      0     1     0         0     0       0    0     0     0    0  1169     4     0        0     4        0    99     0     0    0     0     0    0
/VBD       0    0    0   0   0     0     0    0     0     0     0    0    0     0     2     0         0     0       0    0    0   143     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     2  1539     0        0   150        0     1     0     0    0     0     0    0
/VBG       0    0    0   0   0     0     0    0     0     0     0    0    0     0     3     0         0     0       0    0    0   274     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0   540        0     0        0     0     0     0    0     0     0    0
/VBG|NN    0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     1     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/VBN       0    0    0   0   0     0     0    0     0     0     0    0    0     0    10     0         0     0       0    0    0   202     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     3   142     0        0   741        0     0     0     0    0     0     0    0
/VBN|JJ    0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     2        0     0     0     0    0     0     0    0
/VBP       0    0    0   0   0     0     0    0     0     0     0    0    0     4     3     0         0     0       0    0    0    82     1      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0    56     0     0        0     7        0   649     0     0    0     0     0    0
/VBZ       0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0   100     0      0    30     0     5     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0  1101     0    0     0     0    0
/WDT       0    0    0   0   0     0     0    0     0     0     0    0    0    74     0     0         0     0       0    0    0     2     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0   203    1     0     0    0
/WP        0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0  111     0     0    0
/WP$       0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0    21     0    0
/WRB       0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     1     0      0     0     0     0     0      0     1     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0   131    0
/``        0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0  535
